選手名,所属クラブ,クラブ勝点,試合数,リーグ知名度,試合出場数,得点,CA
北本将也,Ｒ．シュペルブ釧路,10,14,21,10,0,
野瀬誉斗,Ｒ．シュペルブ釧路,10,14,21,9,0,
中島和也,Ｒ．シュペルブ釧路,10,14,21,13,0,
佐藤伸一,Ｒ．シュペルブ釧路,10,14,21,12,0,
近藤将人,Ｒ．シュペルブ釧路,10,14,21,11,1,
松田涼,Ｒ．シュペルブ釧路,10,14,21,9,0,
寺倉良太,Ｒ．シュペルブ釧路,10,14,21,11,2,
山内祥樹,Ｒ．シュペルブ釧路,10,14,21,13,1,
重巣建治,Ｒ．シュペルブ釧路,10,14,21,6,2,
松浦健太郎,Ｒ．シュペルブ釧路,10,14,21,7,1,
山内誉樹,Ｒ．シュペルブ釧路,10,14,21,13,3,
米川清斗,Ｒ．シュペルブ釧路,10,14,21,7,1,
加藤大登,Ｒ．シュペルブ釧路,10,14,21,9,2,
佐藤佳月,Ｒ．シュペルブ釧路,10,14,21,2,0,
及川真吾,Ｒ．シュペルブ釧路,10,14,21,8,1,
細川龍哉,Ｒ．シュペルブ釧路,10,14,21,9,0,
野澤堅太,Ｒ．シュペルブ釧路,10,14,21,10,3,
佐賀俊之輔,Ｒ．シュペルブ釧路,10,14,21,3,1,
玉井里駆,Ｒ．シュペルブ釧路,10,14,21,2,0,
横野知臣,Ｒ．シュペルブ釧路,10,14,21,1,0,
岡田洋昌,Ｒ．シュペルブ釧路,10,14,21,1,0,
金澤圭佑,Ｒ．シュペルブ釧路,10,14,21,1,0,
川原大輝,Ｒ．シュペルブ釧路,10,14,21,1,0,
山田匠,Ｒ．シュペルブ釧路,10,14,21,4,1,
河原健太,札幌蹴球団,33,14,21,14,0,
扇宏佑,札幌蹴球団,33,14,21,7,0,
竹林伸,札幌蹴球団,33,14,21,2,0,
埜澤司,札幌蹴球団,33,14,21,12,1,
岩本卓也,札幌蹴球団,33,14,21,13,0,
関口雄与,札幌蹴球団,33,14,21,12,2,
阿部大翔,札幌蹴球団,33,14,21,14,7,
福永貴弘,札幌蹴球団,33,14,21,10,4,
石井啓太,札幌蹴球団,33,14,21,14,1,
黒田亮介,札幌蹴球団,33,14,21,14,12,
金子顕太,札幌蹴球団,33,14,21,14,8,
亀谷啓太,札幌蹴球団,33,14,21,10,2,
小川峻,札幌蹴球団,33,14,21,7,2,
小林瑠加,札幌蹴球団,33,14,21,2,0,
栃木渉利,札幌蹴球団,33,14,21,3,0,
庄内巧真,札幌蹴球団,33,14,21,11,2,
仁科佑太,札幌蹴球団,33,14,21,2,0,
成田拳斗,札幌蹴球団,33,14,21,10,4,
小玉昂輝,札幌蹴球団,33,14,21,12,2,
鈴木悠斗,札幌蹴球団,33,14,21,1,0,
羽二生健汰,札幌蹴球団,33,14,21,5,0,
福士慧亮,札幌蹴球団,33,14,21,3,0,
小野寺辰貴,札幌蹴球団,33,14,21,2,0,
本岩直樹,札幌蹴球団,33,14,21,1,0,
長谷川武紀,札幌蹴球団,33,14,21,1,0,
岩間遥,トヨタ自動車北海道サッカー部,10,14,21,13,0,31
羽田健人,トヨタ自動車北海道サッカー部,10,14,21,13,0,31
渡邊卓弥,トヨタ自動車北海道サッカー部,10,14,21,6,0,
工藤宏昭,トヨタ自動車北海道サッカー部,10,14,21,9,0,
藤髙蓮,トヨタ自動車北海道サッカー部,10,14,21,11,0,30
菊地拓朗,トヨタ自動車北海道サッカー部,10,14,21,9,2,
中島永遠,トヨタ自動車北海道サッカー部,10,14,21,12,3,32
中嶋悠人,トヨタ自動車北海道サッカー部,10,14,21,13,0,31
岸奥浩二,トヨタ自動車北海道サッカー部,10,14,21,11,0,30
伊藤直弘,トヨタ自動車北海道サッカー部,10,14,21,14,6,
瀬川瑞己,トヨタ自動車北海道サッカー部,10,14,21,12,0,31
小林寛汰,トヨタ自動車北海道サッカー部,10,14,21,8,0,
川崎聖司,トヨタ自動車北海道サッカー部,10,14,21,8,0,
伊藤崇雄,トヨタ自動車北海道サッカー部,10,14,21,3,0,
森山辰弥,トヨタ自動車北海道サッカー部,10,14,21,6,0,
吉田翔,トヨタ自動車北海道サッカー部,10,14,21,13,4,34
清水義勝,トヨタ自動車北海道サッカー部,10,14,21,9,0,
山岸大騎,トヨタ自動車北海道サッカー部,10,14,21,5,0,
平塚友啓,トヨタ自動車北海道サッカー部,10,14,21,10,0,
小薮悟史,トヨタ自動車北海道サッカー部,10,14,21,6,0,
八木沢翔斗,トヨタ自動車北海道サッカー部,10,14,21,7,0,
石亀宏巳,トヨタ自動車北海道サッカー部,10,14,21,1,0,
菅原大道,北海道十勝スカイアース,38,14,21,13,0,
吉田哲登,北海道十勝スカイアース,38,14,21,13,0,
長野聡,北海道十勝スカイアース,38,14,21,13,1,55
黒川聖平,北海道十勝スカイアース,38,14,21,14,9,
池田紘大,北海道十勝スカイアース,38,14,21,13,3,58
林洋毅,北海道十勝スカイアース,38,14,21,14,4,
ファビオ・アウグスト,北海道十勝スカイアース,38,14,21,5,0,42
喜澤隆太,北海道十勝スカイアース,38,14,21,14,4,
渋谷亮,北海道十勝スカイアース,38,14,21,14,1,50
高木俊輝,北海道十勝スカイアース,38,14,21,10,5,
松尾雄斗,北海道十勝スカイアース,38,14,21,13,17,59
高橋賢也,北海道十勝スカイアース,38,14,21,12,1,55
皆上弦輝,北海道十勝スカイアース,38,14,21,11,5,
斉藤健太,北海道十勝スカイアース,38,14,21,11,5,
山下亮介,北海道十勝スカイアース,38,14,21,1,0,45
相馬将夏,北海道十勝スカイアース,38,14,21,9,4,
餌取伸哉,北海道十勝スカイアース,38,14,21,1,0,
工藤竜平,北海道十勝スカイアース,38,14,21,7,1,
成田憲昭,北海道十勝スカイアース,38,14,21,5,1,42
永坂勇人,北海道十勝スカイアース,38,14,21,4,0,
佐藤皓生,北海道十勝スカイアース,38,14,21,1,0,
西島大介,北海道十勝スカイアース,38,14,21,1,0,
石川拓磨,北海道十勝スカイアース,38,14,21,1,0,
佐藤裕輔,日本製鉄室蘭サッカー部,21,14,21,8,0,
黒田勇統,日本製鉄室蘭サッカー部,21,14,21,14,2,
伊藤龍海,日本製鉄室蘭サッカー部,21,14,21,14,0,
高橋友弥,日本製鉄室蘭サッカー部,21,14,21,9,0,
玉谷文太,日本製鉄室蘭サッカー部,21,14,21,14,1,
原田賢汰,日本製鉄室蘭サッカー部,21,14,21,8,0,
岡部航大,日本製鉄室蘭サッカー部,21,14,21,14,13,
広瀬敦也,日本製鉄室蘭サッカー部,21,14,21,12,0,
忰部寛明,日本製鉄室蘭サッカー部,21,14,21,14,2,
坂本晋悟,日本製鉄室蘭サッカー部,21,14,21,5,0,
石川勝智,日本製鉄室蘭サッカー部,21,14,21,13,8,
坂本憲吾,日本製鉄室蘭サッカー部,21,14,21,12,1,
佐藤央,日本製鉄室蘭サッカー部,21,14,21,12,7,
富川優一,日本製鉄室蘭サッカー部,21,14,21,5,0,
安原大生,日本製鉄室蘭サッカー部,21,14,21,1,0,
大類憲,日本製鉄室蘭サッカー部,21,14,21,13,3,
田中佑耶,日本製鉄室蘭サッカー部,21,14,21,3,0,
金子健太,日本製鉄室蘭サッカー部,21,14,21,5,0,
畠山拓巳,日本製鉄室蘭サッカー部,21,14,21,10,2,
福澤英昭,日本製鉄室蘭サッカー部,21,14,21,7,0,
今野奨真,日本製鉄室蘭サッカー部,21,14,21,8,1,
高橋寛太,日本製鉄室蘭サッカー部,21,14,21,4,0,
杉本明哉,日本製鉄室蘭サッカー部,21,14,21,1,0,
岡本翔吾,北蹴会岩見沢,15,14,21,2,0,
久松秀樹,北蹴会岩見沢,15,14,21,14,1,
松田恭司郎,北蹴会岩見沢,15,14,21,11,0,
葛西大,北蹴会岩見沢,15,14,21,13,6,
平野英,北蹴会岩見沢,15,14,21,10,0,
奈良創平,北蹴会岩見沢,15,14,21,12,2,
福田圭二郎,北蹴会岩見沢,15,14,21,3,0,
坂下諄弥,北蹴会岩見沢,15,14,21,8,2,
鈴木翔,北蹴会岩見沢,15,14,21,10,3,
大西洋平,北蹴会岩見沢,15,14,21,5,3,
天野海斗,北蹴会岩見沢,15,14,21,14,2,
櫻井淳平,北蹴会岩見沢,15,14,21,12,0,
谷山由宇,北蹴会岩見沢,15,14,21,12,0,
岩田健太郎,北蹴会岩見沢,15,14,21,7,0,
船場俊介,北蹴会岩見沢,15,14,21,2,0,
須佐海士,北蹴会岩見沢,15,14,21,6,1,
後藤倫弘,北蹴会岩見沢,15,14,21,5,0,
野口祐太,北蹴会岩見沢,15,14,21,10,4,
高山幹大,北蹴会岩見沢,15,14,21,6,0,
菊地純,北蹴会岩見沢,15,14,21,5,0,
益田亘,北蹴会岩見沢,15,14,21,3,0,
上原宏太,北蹴会岩見沢,15,14,21,3,0,
谷内弘樹,北蹴会岩見沢,15,14,21,5,1,
加藤大己,北蹴会岩見沢,15,14,21,5,0,
増田光哉,北蹴会岩見沢,15,14,21,1,0,
伊東祐亮,北蹴会岩見沢,15,14,21,3,0,
小川博也,北蹴会岩見沢,15,14,21,1,0,
藤原良史,北蹴会岩見沢,15,14,21,3,1,
中川慎也,北蹴会岩見沢,15,14,21,2,0,
本間寛人,日本通運ＦＣ,14,14,21,10,0,30
松本壮平,日本通運ＦＣ,14,14,21,8,0,38
岡田智,日本通運ＦＣ,14,14,21,8,0,
梅田祐希,日本通運ＦＣ,14,14,21,11,0,
水本雄大,日本通運ＦＣ,14,14,21,6,1,
斎藤優斗,日本通運ＦＣ,14,14,21,9,0,33
池田一起,日本通運ＦＣ,14,14,21,14,1,
平山智規,日本通運ＦＣ,14,14,21,14,1,
久保明斗,日本通運ＦＣ,14,14,21,10,0,
山田庸介,日本通運ＦＣ,14,14,21,2,1,
冨田岳,日本通運ＦＣ,14,14,21,12,13,
熊谷玲斗,日本通運ＦＣ,14,14,21,12,1,
鈴木恵太郎,日本通運ＦＣ,14,14,21,7,0,35
東謙太郎,日本通運ＦＣ,14,14,21,9,1,
児玉竣一,日本通運ＦＣ,14,14,21,13,2,
佐藤智弥,日本通運ＦＣ,14,14,21,4,0,
平野洋輔,日本通運ＦＣ,14,14,21,6,3,
山室伸之輔,日本通運ＦＣ,14,14,21,11,0,
奥泉準基,日本通運ＦＣ,14,14,21,10,0,
永井聖一郎,日本通運ＦＣ,14,14,21,10,1,
浅井達郎,日本通運ＦＣ,14,14,21,11,4,
三上浩平,日本通運ＦＣ,14,14,21,4,0,
長縄真琴,日本通運ＦＣ,14,14,21,1,0,
杉山竣祐,日本通運ＦＣ,14,14,21,2,0,
坂本一輝,MIOびわこ滋賀,40,30,53,29,14,75
松田悠佑,MIOびわこ滋賀,40,30,53,20,1,65
門司涼佑,MIOびわこ滋賀,40,30,53,1,0,58
小山北斗,MIOびわこ滋賀,40,30,53,14,0,62
小野寺達也,テゲバジャーロ宮崎,41,30,53,26,1,72
石井健太,テゲバジャーロ宮崎,41,30,53,24,0,67
石田皓大,テゲバジャーロ宮崎,41,30,53,17,2,65
黒瀬純哉,テゲバジャーロ宮崎,41,30,53,5,0,59
高畑智也,松江シティFC,25,30,53,18,1,65
佐藤啓志郎,松江シティFC,25,30,53,28,1,62
中井栞吏,松江シティFC,25,30,53,24,4,62
石津優介,松江シティFC,25,30,53,0,0,52
木村憩輔,Cobaltore女川,40,18,28,6,0,
小田切啓,Cobaltore女川,40,18,28,9,2,
及川陸,Cobaltore女川,40,18,28,9,1,
宮坂瑠,Cobaltore女川,40,18,28,17,3,60
桝沢樹,Cobaltore女川,40,18,28,15,1,
山内晴貴,Cobaltore女川,40,18,28,15,2,
小川和也,Cobaltore女川,40,18,28,17,1,59
嶺岸祐介,Cobaltore女川,40,18,28,15,0,
千葉洸星,Cobaltore女川,40,18,28,4,0,
池田幸樹,Cobaltore女川,40,18,28,14,6,
鳥山祥之,Cobaltore女川,40,18,28,16,2,
吉田圭,Cobaltore女川,40,18,28,14,7,62
南口駿,Cobaltore女川,40,18,28,4,2,
梅田至,Cobaltore女川,40,18,28,4,1,
畑中秀斗,Cobaltore女川,40,18,28,12,0,
森蔭冬威,Cobaltore女川,40,18,28,0,0,
中村彦聖,Cobaltore女川,40,18,28,8,2,
遠藤一耀,Cobaltore女川,40,18,28,2,0,
速水佑一郎,Cobaltore女川,40,18,28,12,0,
高橋晃司,Cobaltore女川,40,18,28,18,4,
橋本光晟,Cobaltore女川,40,18,28,10,0,
武田晃平,Cobaltore女川,40,18,28,14,1,
野口龍也,Cobaltore女川,40,18,28,18,12,
千葉銀次郎,Cobaltore女川,40,18,28,14,3,
熊谷蘭丸,日本製鉄釜石 ,18,18,28,17,0,
新沼晃宏,日本製鉄釜石 ,18,18,28,12,0,
東海林隼,日本製鉄釜石 ,18,18,28,18,0,
小松南,日本製鉄釜石 ,18,18,28,15,0,
伊藤仁也,日本製鉄釜石 ,18,18,28,18,6,
菅原一平,日本製鉄釜石 ,18,18,28,17,0,
板澤優介,日本製鉄釜石 ,18,18,28,16,2,
簗場海史,日本製鉄釜石 ,18,18,28,10,0,
仲上達也,日本製鉄釜石 ,18,18,28,11,0,
太田代飛鳥,日本製鉄釜石 ,18,18,28,18,3,
佐藤真貴,日本製鉄釜石 ,18,18,28,6,1,
浅沼海斗,日本製鉄釜石 ,18,18,28,13,2,
本間竜耶,日本製鉄釜石 ,18,18,28,16,6,
簗場豪史,日本製鉄釜石 ,18,18,28,17,4,
齊藤真,日本製鉄釜石 ,18,18,28,2,0,
泉澤秀,日本製鉄釜石 ,18,18,28,1,0,
浅田陸,日本製鉄釜石 ,18,18,28,11,1,
佐々木大成,日本製鉄釜石 ,18,18,28,4,0,
簗場総史,日本製鉄釜石 ,18,18,28,9,0,
大江北斗,日本製鉄釜石 ,18,18,28,2,0,
内田和茂,日本製鉄釜石 ,18,18,28,3,1,
藤原直哉,日本製鉄釜石 ,18,18,28,17,1,
新沼光,日本製鉄釜石 ,18,18,28,2,0,
三上貴久,日本製鉄釜石 ,18,18,28,3,0,
山口侑也,ブランデュー弘前,43,18,28,0,0,
圍清隆 ,ブランデュー弘前,43,18,28,2,0,45
海野捷人,ブランデュー弘前,43,18,28,15,7,
川崎達也,ブランデュー弘前,43,18,28,18,4,53
宮下航輔,ブランデュー弘前,43,18,28,10,1,
濱中大,ブランデュー弘前,43,18,28,14,0,54
大塚孔偉,ブランデュー弘前,43,18,28,9,1,
沼倉幸哉,ブランデュー弘前,43,18,28,17,2,51
姜曉一,ブランデュー弘前,43,18,28,10,1,
小田桐龍也,ブランデュー弘前,43,18,28,12,3,
高橋佳,ブランデュー弘前,43,18,28,18,32,62
早乙女達海,ブランデュー弘前,43,18,28,13,9,
キム・ジョンハン,ブランデュー弘前,43,18,28,5,1,
高木輝之,ブランデュー弘前,43,18,28,5,2,
濱中力,ブランデュー弘前,43,18,28,17,0,
笠原啓夢,ブランデュー弘前,43,18,28,18,3,
小野敬輔,ブランデュー弘前,43,18,28,10,2,
根本直弥,ブランデュー弘前,43,18,28,16,3,
菊池翔太,ブランデュー弘前,43,18,28,11,0,
眞口幸太,ブランデュー弘前,43,18,28,17,5,
浅利航大,ブランデュー弘前,43,18,28,12,4,
パク・スンギ,ブランデュー弘前,43,18,28,10,1,
尾関良繁,ブランデュー弘前,43,18,28,18,0,
安田健太,猿田興業,14,18,28,18,0,30
木内瑛,猿田興業,14,18,28,18,2,31
鎌田綱太,猿田興業,14,18,28,18,0,30
目黒貴大,猿田興業,14,18,28,18,7,40
鎌田一平,猿田興業,14,18,28,15,3,
加賀谷昴貴,猿田興業,14,18,28,12,4,
伊藤大,猿田興業,14,18,28,18,1,
土屋健太,猿田興業,14,18,28,14,2,
五十嵐知弘,猿田興業,14,18,28,13,0,
熊谷琢登,猿田興業,14,18,28,17,7,
佐藤勇矢,猿田興業,14,18,28,15,0,
工藤滉哉,猿田興業,14,18,28,2,1,
戸部広夢,猿田興業,14,18,28,9,0,
菅原嵩,猿田興業,14,18,28,18,3,
江幡瞬,猿田興業,14,18,28,17,0,
菅生雄大,猿田興業,14,18,28,0,0,
鈴木銀華,猿田興業,14,18,28,10,0,
齋藤嵩,猿田興業,14,18,28,0,0,
五十嵐龍之介,盛岡ゼブラ,24,18,28,0,0,32
中島昂平,盛岡ゼブラ,24,18,28,4,0,
竹田大和,盛岡ゼブラ,24,18,28,1,0,
藤村健友,盛岡ゼブラ,24,18,28,11,0,
古谷将寛,盛岡ゼブラ,24,18,28,17,0,
岩舘貴紀,盛岡ゼブラ,24,18,28,8,0,
山谷紘大,盛岡ゼブラ,24,18,28,14,19,54
上山愛史,盛岡ゼブラ,24,18,28,12,2,
工藤大輝,盛岡ゼブラ,24,18,28,6,0,
薄井朋也,盛岡ゼブラ,24,18,28,16,0,
久保拓夢,盛岡ゼブラ,24,18,28,7,2,
滝野潤,盛岡ゼブラ,24,18,28,15,0,
戸澤祥也,盛岡ゼブラ,24,18,28,17,6,
成田大樹,盛岡ゼブラ,24,18,28,1,0,
岡村学,盛岡ゼブラ,24,18,28,6,0,
森川龍誠,盛岡ゼブラ,24,18,28,15,6,
岩田英嗣,盛岡ゼブラ,24,18,28,17,3,
伊澤久也,盛岡ゼブラ,24,18,28,14,1,
加藤浩史,盛岡ゼブラ,24,18,28,7,2,
梅村和大,盛岡ゼブラ,24,18,28,3,0,
小赤澤啓太,盛岡ゼブラ,24,18,28,18,0,
横澤匠,盛岡ゼブラ,24,18,28,16,1,
佐々木海人,盛岡ゼブラ,24,18,28,12,2,
沼倉類,盛岡ゼブラ,24,18,28,2,0,
星瑠斗,盛岡ゼブラ,24,18,28,1,0,
谷村憲一,盛岡ゼブラ,24,18,28,4,0,
岡田祐政,盛岡ゼブラ,24,18,28,13,0,
柳内俊哉,FCプリメーロ,16,18,28,3,0,
木川広道,FCプリメーロ,16,18,28,1,0,
石井秀樹,FCプリメーロ,16,18,28,12,1,
伊藤峻,FCプリメーロ,16,18,28,9,1,
古川啓太,FCプリメーロ,16,18,28,17,0,
三浦昌樹,FCプリメーロ,16,18,28,6,1,
渡部俊輔,FCプリメーロ,16,18,28,9,0,
小山啓太郎,FCプリメーロ,16,18,28,17,1,
伊東大輔,FCプリメーロ,16,18,28,17,4,
水野聡,FCプリメーロ,16,18,28,16,1,
蛭田隼,FCプリメーロ,16,18,28,4,1,
本田直樹,FCプリメーロ,16,18,28,17,6,
関将彰,FCプリメーロ,16,18,28,8,0,
西田潤,FCプリメーロ,16,18,28,7,1,
佐藤貴一,FCプリメーロ,16,18,28,1,0,
佐藤大輝,FCプリメーロ,16,18,28,12,0,
小野哲志,FCプリメーロ,16,18,28,5,0,
小池正之,FCプリメーロ,16,18,28,1,0,
皿良優介,FCプリメーロ,16,18,28,15,4,
石井正浩,FCプリメーロ,16,18,28,4,1,
小檜山泰典,FCプリメーロ,16,18,28,9,0,
渡辺和希,FCプリメーロ,16,18,28,6,0,
三浦侑大,FCプリメーロ,16,18,28,7,1,
浜尾康史,FCプリメーロ,16,18,28,6,0,
山澤誠広,FCプリメーロ,16,18,28,0,0,
大木健司,FCプリメーロ,16,18,28,4,0,
大金祐輔 ,FCプリメーロ,16,18,28,6,0,
松浦和己,FCプリメーロ,16,18,28,2,0,
菅野一輝,FCプリメーロ,16,18,28,5,0,
牧寛史,FCプリメーロ,16,18,28,8,1,
伊藤遼,FCプリメーロ,16,18,28,7,0,
増子隼人,FCプリメーロ,16,18,28,1,0,
草下聖人,FCガンジュ岩手,21,18,28,5,0,
出口捷馬,FCガンジュ岩手,21,18,28,0,0,
山元佑哉,FCガンジュ岩手,21,18,28,18,1,
中西哲也,FCガンジュ岩手,21,18,28,18,0,
高橋直希,FCガンジュ岩手,21,18,28,18,1,
三田優,FCガンジュ岩手,21,18,28,16,3,
森脇大介,FCガンジュ岩手,21,18,28,15,9,
熊谷心真,FCガンジュ岩手,21,18,28,15,7,
的場大治,FCガンジュ岩手,21,18,28,13,2,
竹田宇宙,FCガンジュ岩手,21,18,28,5,0,
大内周,FCガンジュ岩手,21,18,28,17,1,
河野匠哉,FCガンジュ岩手,21,18,28,14,0,
早水亮輔,FCガンジュ岩手,21,18,28,2,0,
大谷昭太,FCガンジュ岩手,21,18,28,18,8,
千葉光生,FCガンジュ岩手,21,18,28,16,0,
熊谷紋司,FCガンジュ岩手,21,18,28,18,9,
鹿村祥平,FCガンジュ岩手,21,18,28,15,1,
稲垣和弥,秋田FCカンビアーレ,10,18,28,1,0,12
児玉賢哉,秋田FCカンビアーレ,10,18,28,14,1,
斎藤純平,秋田FCカンビアーレ,10,18,28,1,2,14
鈴木賢,秋田FCカンビアーレ,10,18,28,17,3,
新里彰平 ,秋田FCカンビアーレ,10,18,28,5,0,
上村和也,秋田FCカンビアーレ,10,18,28,4,0,
斉藤誠,秋田FCカンビアーレ,10,18,28,13,0,
藤原健,秋田FCカンビアーレ,10,18,28,15,0,
松中尊,秋田FCカンビアーレ,10,18,28,3,0,
田中耀太,秋田FCカンビアーレ,10,18,28,1,0,
富樫豪,秋田FCカンビアーレ,10,18,28,13,9,
工藤潤平,秋田FCカンビアーレ,10,18,28,6,0,
田近晴登,秋田FCカンビアーレ,10,18,28,12,0,
大山悠斗,秋田FCカンビアーレ,10,18,28,8,1,
菅原一成,秋田FCカンビアーレ,10,18,28,18,1,
小玉翼,秋田FCカンビアーレ,10,18,28,15,0,
加賀谷海登,秋田FCカンビアーレ,10,18,28,16,0,
加藤直也,秋田FCカンビアーレ,10,18,28,16,0,
佐藤俊,秋田FCカンビアーレ,10,18,28,4,0,
小沼拓矢,秋田FCカンビアーレ,10,18,28,8,2,
鈴木健児,秋田FCカンビアーレ,10,18,28,4,0,
斎藤聡一郎,秋田FCカンビアーレ,10,18,28,2,0,13
菊池広之,秋田FCカンビアーレ,10,18,28,17,1,
犬上匠,秋田FCカンビアーレ,10,18,28,17,1,
飯塚颯太,秋田FCカンビアーレ,10,18,28,2,0,13
桑田大幹,福井ユナイテッド ,40,14,25,6,2,
高橋巧,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,18,0,
チェボンウォン,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,16,1,
川上典洋,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,18,3,
柳星旭,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,11,0,
徳重翔大,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,13,1,
小松峻輔,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,17,1,
高瀬廉,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,13,0,
白坂拓也,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,18,5,
神田傑,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,16,6,
松本祐樹,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,2,2,
無津呂武瑠,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,18,14,
橋本辰哉,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,2,0,
佐野裕哉,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,12,0,
盛田享佑,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,13,1,
田中正也,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,16,2,
山田晃輔,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,5,0,
鈴木将馬,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,14,5,
黒津勝,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,15,4,
重富朝登,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,0,0,
尾崎就斗,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,5,0,
大石駿之介,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,1,0,
橘木勇弥,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,9,3,
金贊圭,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,0,0,
ヒューエルオリベイラ,Ｊ．ＦＣ ＭＩＹＡＺＡＫＩ,46,18,29,5,0,
南早人,九州総合スポーツカレッジ,5,18,29,7,0,
竹田竣,九州総合スポーツカレッジ,5,18,29,17,0,
越智礼雄,九州総合スポーツカレッジ,5,18,29,18,0,40
外薗澪,九州総合スポーツカレッジ,5,18,29,18,0,40
鳥越光,九州総合スポーツカレッジ,5,18,29,18,2,42
藤田翔輝,九州総合スポーツカレッジ,5,18,29,16,0,
本田陽司,九州総合スポーツカレッジ,5,18,29,13,3,
姫野烈也,九州総合スポーツカレッジ,5,18,29,6,3,
片渕隆仁,九州総合スポーツカレッジ,5,18,29,14,2,
有馬海斗,九州総合スポーツカレッジ,5,18,29,17,0,
佐多和紀,九州総合スポーツカレッジ,5,18,29,15,0,
山元虹稀,九州総合スポーツカレッジ,5,18,29,12,0,
山本真乃介,九州総合スポーツカレッジ,5,18,29,8,0,
川野凌斗,九州総合スポーツカレッジ,5,18,29,5,0,
沼田翔弥,九州総合スポーツカレッジ,5,18,29,4,0,21
運天ひかる,九州総合スポーツカレッジ,5,18,29,16,0,38
河田奨央,九州総合スポーツカレッジ,5,18,29,4,0,21
來和生,九州総合スポーツカレッジ,5,18,29,2,0,20
甲斐雄大,九州総合スポーツカレッジ,5,18,29,12,0,
川﨑脩斗,九州総合スポーツカレッジ,5,18,29,16,2,40
中園翔馬,九州総合スポーツカレッジ,5,18,29,5,0,
福井雄也,九州総合スポーツカレッジ,5,18,29,2,0,20
徳留暁,九州総合スポーツカレッジ,5,18,29,0,0,20
砂辺龍也,九州総合スポーツカレッジ,5,18,29,7,0,
村本海斗,九州総合スポーツカレッジ,5,18,29,2,0,20
葛城徹,日本製鉄大分サッカー部,25,18,29,11,0,
坂本拓也,日本製鉄大分サッカー部,25,18,29,4,1,
戸高航汰,日本製鉄大分サッカー部,25,18,29,18,0,
杉園恭平,日本製鉄大分サッカー部,25,18,29,16,1,
奴井名佑真,日本製鉄大分サッカー部,25,18,29,13,0,
西出隼也,日本製鉄大分サッカー部,25,18,29,18,6,
安東潤基,日本製鉄大分サッカー部,25,18,29,18,0,
本村優太,日本製鉄大分サッカー部,25,18,29,15,0,
山本卓斗,日本製鉄大分サッカー部,25,18,29,16,2,
清武勇太,日本製鉄大分サッカー部,25,18,29,17,5,
財津雄太,日本製鉄大分サッカー部,25,18,29,17,5,
古賀友將,日本製鉄大分サッカー部,25,18,29,7,0,
林敬洋,日本製鉄大分サッカー部,25,18,29,0,0,
武原尚貴,日本製鉄大分サッカー部,25,18,29,5,0,
髙口滉之介,日本製鉄大分サッカー部,25,18,29,13,0,
安藤繁,日本製鉄大分サッカー部,25,18,29,11,0,
渕野怜紋,日本製鉄大分サッカー部,25,18,29,1,0,
川野隼,日本製鉄大分サッカー部,25,18,29,18,5,
工藤良平,日本製鉄大分サッカー部,25,18,29,16,1,
矢野達也,日本製鉄大分サッカー部,25,18,29,16,1,
柴北亮洋,日本製鉄大分サッカー部,25,18,29,1,0,
横山卓郎,日本製鉄大分サッカー部,25,18,29,12,3,
谷口寛汰,日本製鉄大分サッカー部,25,18,29,0,0,
高野賢吾,日本製鉄大分サッカー部,25,18,29,2,0,
宇野能功,日本製鉄大分サッカー部,25,18,29,8,1,
與那城慧太,海邦銀行サッカークラブ,26,18,29,9,0,
津波古充国,海邦銀行サッカークラブ,26,18,29,15,0,
櫻井豪流,海邦銀行サッカークラブ,26,18,29,18,0,
仲宗根知弘,海邦銀行サッカークラブ,26,18,29,17,1,
與那嶺偉,海邦銀行サッカークラブ,26,18,29,11,2,
